transaction_id,customer_id,amount,transaction_date,merchant_category,transaction_type,location,is_fraud
TXN001,CUST001,245.50,2024-01-15T14:30:00,GROCERY,DEBIT,NEW_YORK,0
TXN002,CUST002,1250.00,2024-01-15T15:45:00,ONLINE,CREDIT,CALIFORNIA,1
TXN003,CUST001,50.00,2024-01-15T16:20:00,ATM,DEBIT,NEW_YORK,0
TXN004,CUST003,3500.00,2024-01-15T17:15:00,JEWELRY,CREDIT,FLORIDA,1
TXN005,CUST004,120.75,2024-01-15T18:30:00,GAS_STATION,DEBIT,TEXAS,0
TXN006,CUST002,45.00,2024-01-15T19:45:00,RESTAURANT,DEBIT,CALIFORNIA,0
TXN007,CUST005,2100.00,2024-01-16T09:15:00,ELECTRONICS,CREDIT,NEVADA,1
TXN008,CUST001,85.50,2024-01-16T10:30:00,PHARMACY,DEBIT,NEW_YORK,0
TXN009,CUST006,650.00,2024-01-16T11:45:00,CLOTHING,CREDIT,ILLINOIS,0
TXN010,CUST003,200.00,2024-01-16T12:20:00,GROCERY,DEBIT,FLORIDA,0
TXN011,CUST007,5000.00,2024-01-16T13:30:00,ONLINE,CREDIT,UNKNOWN,1
TXN012,CUST004,75.25,2024-01-16T14:45:00,GROCERY,DEBIT,TEXAS,0
TXN013,CUST008,450.00,2024-01-16T15:10:00,HOTEL,CREDIT,COLORADO,0
TXN014,CUST002,1800.00,2024-01-16T16:25:00,ELECTRONICS,CREDIT,CALIFORNIA,1
TXN015,CUST009,95.50,2024-01-16T17:40:00,RESTAURANT,DEBIT,ARIZONA,0
TXN016,CUST001,250.00,2024-01-16T18:55:00,ATM,DEBIT,NEW_YORK,0
TXN017,CUST010,320.75,2024-01-17T08:15:00,GAS_STATION,CREDIT,WASHINGTON,0
TXN018,CUST005,4200.00,2024-01-17T09:30:00,JEWELRY,CREDIT,NEVADA,1
TXN019,CUST006,180.00,2024-01-17T10:45:00,GROCERY,DEBIT,ILLINOIS,0
TXN020,CUST011,750.00,2024-01-17T11:20:00,ELECTRONICS,CREDIT,OREGON,0
TXN021,CUST007,25.50,2024-01-17T12:35:00,COFFEE_SHOP,DEBIT,UNKNOWN,0
TXN022,CUST012,1500.00,2024-01-17T13:50:00,ONLINE,CREDIT,MICHIGAN,1
TXN023,CUST003,420.00,2024-01-17T14:15:00,CLOTHING,CREDIT,FLORIDA,0
TXN024,CUST008,68.75,2024-01-17T15:30:00,PHARMACY,DEBIT,COLORADO,0
TXN025,CUST013,290.00,2024-01-17T16:45:00,RESTAURANT,CREDIT,UTAH,0
TXN026,CUST009,2800.00,2024-01-17T17:20:00,ELECTRONICS,CREDIT,ARIZONA,1
TXN027,CUST014,155.50,2024-01-17T18:35:00,GROCERY,DEBIT,MONTANA,0
TXN028,CUST010,45.00,2024-01-17T19:50:00,ATM,DEBIT,WASHINGTON,0
TXN029,CUST015,3750.00,2024-01-18T08:10:00,JEWELRY,CREDIT,HAWAII,1
TXN030,CUST001,310.25,2024-01-18T09:25:00,GAS_STATION,CREDIT,NEW_YORK,0
TXN031,CUST016,89.99,2024-01-18T10:30:00,GROCERY,DEBIT,TEXAS,0
TXN032,CUST017,145.50,2024-01-18T11:15:00,CLOTHING,CREDIT,CALIFORNIA,0
