ticket_id,ticket_uuid,customer_id,category_id,ticket_subject,ticket_description,priority,status,created_date,updated_date,resolved_date,assigned_agent,customer_satisfaction_score
39,edc150c1-f4d2-4047-87ab-a8a4b2c4d444,1255,16,"Partial order delivered, missing items",Carry poor financial keep. Prevent economy involve information majority design. Coach key security choose major our. Word cold listen black two market agree. Its song economic attention admit politics. Attack continue including wear hot less child foot.,Low,Pending,2025-02-06 04:43:46,2025-02-11 08:43:46,,Timothy Briggs,
40,80f0569b-3047-4001-b3b8-e3010afffcf4,1083,20,Mobile app crashing frequently,Discover prepare value nature star reason. Focus tax second. Politics line purpose state.,Low,Pending,2025-04-10 19:37:54,2025-04-15 00:37:54,,Jessica Knight,
41,eb2d2f61-0130-4b3b-9059-e7157b44999c,1881,17,Manufacturing defect in product,Probably newspaper school behind my compare condition.,Critical,Resolved,2025-05-17 05:09:43,2025-05-21 14:09:43,2025-05-24 06:09:43,Robert Bowen,1
42,f80ff7c7-ee59-4ddc-abcb-dfb339cc012e,1826,29,Partnership Inquiry - Forget form will.,Democrat discover commercial condition human even until. Hot much pressure be because oil south. Learn school city support finally enter movement. State size too team office chair.,Medium,Pending,2024-07-27 17:17:13,2024-08-02 05:17:13,,Robert Burns,
43,9c591c60-3463-4edf-8ab7-5a6fa4bfc50e,1577,21,Returns & Exchanges - Fly assume center structure themselves.,Suggest month positive citizen concern compare guess. Prevent moment range close accept career accept. It million Mrs never.,Critical,Pending,2024-07-19 22:08:00,2024-07-22 19:08:00,,Anthony Stark,
44,c84e8395-73ad-4de1-866b-95b395a433fe,1362,25,Complaint - Hair authority happen animal organization relationship.,Really option at financial baby. Magazine expect mind cold.,Low,Pending,2024-08-05 15:03:02,2024-08-07 21:03:02,,Robert May,
45,40d105f4-17d1-45e0-853c-2bb2c6825235,1988,28,Security Concern - Once two clear point more.,Production baby security position authority make. Economic follow level money occur chance lay.,High,In Progress,2025-05-27 02:19:01,2025-06-02 17:19:01,,Ashley Barrera,
46,2d754b5b-db7b-4b97-a2de-75a4dbcf9f40,1078,24,General Inquiries - Politics throughout no more listen agree herself learn.,Participant sort last dream company tax. Concern but trouble huge. Finally media this sign myself case with learn. Move which anything body field music appear. Property total member too someone single. Above radio dream discuss become model rock teacher.,Medium,Open,2025-02-17 21:29:03,2025-02-23 16:29:03,,Kathleen Peterson,
47,5e4dfd9d-47df-45a3-b45e-894e12764caf,1437,30,Data Privacy - Kind shake eight.,By cell choose. Day visit mind believe significant ball degree. Win service pull catch window.,High,Pending,2025-03-30 10:29:19,2025-03-31 12:29:19,,Kathryn Horton,
48,77b95fb0-663d-4ea2-a07f-459aba0fb57b,1512,29,Partnership Inquiry - Live might public operation instead task.,Trial gun light. Listen painting pattern unit. Special but southern. From step senior teach may.,Medium,Resolved,2024-06-14 07:03:59,2024-06-15 15:03:59,2024-06-16 05:03:59,,5
