product_id,product_name,category,brand,price,cost,inventory_quantity,warehouse_code
P000001,FashioMax Speaker,Electronics,FashioMax,769.55,393.21,357,WH-001
P000002,TechCorp Mirror,Home,TechCorp,166.37,95.33,319,WH-004
P000003,TechCorp Lamp,Home,TechCorp,258.99,167.32,192,WH-002
P000004,HomePlus Tablet,Electronics,HomePlus,146.53,75.62,500,WH-003
P000005,TechCorp Hat,Apparel,TechCorp,28.81,12.05,482,WH-001
P000006,BookCorp Publishing Dress,Apparel,BookCorp Publishing,179.98,100.19,52,WH-001
P000007,BookCorp Publishing Mouse,Electronics,BookCorp Publishing,297.64,178.36,224,WH-002
P000008,BookCorp Publishing Jeans,Apparel,BookCorp Publishing,29.02,16.76,188,WH-002
P000009,BookCorp Publishing Smartphone,Electronics,BookCorp Publishing,421.2,266.93,489,WH-003
P000010,HomePlus Chair,Home,HomePlus,290.8,168.83,42,WH-003
P000011,FashioMax Jeans,Apparel,FashioMax,123.34,60.71,353,WH-004
P000012,FashioMax Chair,Home,FashioMax,25.69,17.24,500,WH-001
P000013,BookCorp Publishing T-Shirt,Apparel,BookCorp Publishing,41.34,23.14,132,WH-004
P000014,HomePlus Science Book,Books,HomePlus,14.36,5.89,367,WH-002
P000015,HomePlus Rug,Home,HomePlus,96.59,55.63,467,WH-003
P000016,TechCorp Vase,Home,TechCorp,76.1,34.5,423,WH-002
P000017,BookCorp Publishing Headphones,Electronics,BookCorp Publishing,216.45,98.77,110,WH-004
P000018,TechCorp Rug,Home,TechCorp,151.04,63.19,13,WH-001
P000019,BookCorp Publishing Monitor,Electronics,BookCorp Publishing,214.71,114.8,200,WH-002
P000020,TechCorp T-Shirt,Apparel,TechCorp,145.86,63.79,318,WH-004
P000021,HomePlus Hat,Apparel,HomePlus,38.99,17.78,59,WH-003
P000022,FashioMax Textbook,Books,FashioMax,37.05,16.5,124,WH-002
P000023,TechCorp T-Shirt,Apparel,TechCorp,68.28,41.64,139,WH-001
P000024,FashioMax Vase,Home,FashioMax,113.0,45.54,106,WH-004
P000025,HomePlus Dress,Apparel,HomePlus,73.82,40.18,227,WH-003
P000026,HomePlus Clock,Home,HomePlus,167.46,95.88,109,WH-002
P000027,TechCorp Smartphone,Electronics,TechCorp,728.3,486.54,118,WH-002
P000028,BookCorp Publishing T-Shirt,Apparel,BookCorp Publishing,50.58,35.38,214,WH-003
P000029,HomePlus Monitor,Electronics,HomePlus,382.12,183.42,71,WH-001
P000030,BookCorp Publishing Textbook,Books,BookCorp Publishing,28.24,17.93,357,WH-004
P000031,FashioMax Textbook,Books,FashioMax,21.83,11.76,191,WH-003
P000032,BookCorp Publishing Rug,Home,BookCorp Publishing,169.97,70.47,92,WH-003
P000033,FashioMax Shoes,Apparel,FashioMax,45.22,27.42,328,WH-002
P000034,HomePlus Cookbook,Books,HomePlus,55.69,25.39,130,WH-001
P000035,TechCorp Biography,Books,TechCorp,51.66,25.44,387,WH-003
P000036,HomePlus Tablet,Electronics,HomePlus,88.46,50.66,323,WH-004
P000037,TechCorp Table,Home,TechCorp,210.72,115.05,418,WH-001
P000038,FashioMax Novel,Books,FashioMax,32.4,13.81,345,WH-004
P000039,FashioMax Lamp,Home,FashioMax,123.64,52.51,169,WH-001
